slug,url
55c6,"https://livetv.biz.id/play1.php?watch=Apolo SM vs Sabadell"
8jw5,"https://livetv.biz.id/play1.php?watch=New Hampshire Wildcats vs Harvard Crimson"
vhuy,"https://livetv.biz.id/play1.php?watch=Indiana Sycamores vs Valparaiso Beacons"
rene,"https://livetv.biz.id/play1.php?watch=Davidson Wildcats vs VMI Keydets"
sc4p,"https://livetv.biz.id/play1.php?watch=Bryant Bulldogs vs Princeton Tigers"
gjgw,"https://livetv.biz.id/play1.php?watch=Colgate Raiders vs Cornell Big Red"
ng0j,"https://livetv.biz.id/play1.php?watch=Ashland Eagles vs Ohio Dominican Panthers"
ccg7,"https://livetv.biz.id/play1.php?watch=Central Michigan Chippewas vs Wyoming Cowboys"
du5l,"https://livetv.biz.id/play1.php?watch=Holy Cross Crusaders vs Yale Bulldogs"
z1ow,"https://livetv.biz.id/play1.php?watch=illinois Salukis vs Illinois Fighting Illini"
7x6i,"https://livetv.biz.id/play1.php?watch=Boston College Eagles vs Maine Black Bears"
7dqy,"https://livetv.biz.id/play1.php?watch=St Thomas Tommies vs Southern Utah Thunderbirds"
qfj5,"https://livetv.biz.id/play1.php?watch=Stony Brook Seawolves vs Rhode Island Rams"
htnq,"https://livetv.biz.id/play1.php?watch=Western Carolina Catamounts vs Presbyterian Blue Hose"
sb4k,"https://livetv.biz.id/play1.php?watch=Montana Bobcats vs Central Connecticut State"
vfrk,"https://livetv.biz.id/play1.php?watch=Temple Owls vs Toledo Rockets"
8c6l,"https://livetv.biz.id/play1.php?watch=Bucknell Bison vs Penn Quakers"
1p86,"https://livetv.biz.id/play1.php?watch=Illinois Redbirds vs Eastern Illinois Panthers"
j1l8,"https://livetv.biz.id/play1.php?watch=Toronto vs Edmonton"
7xn8,"https://livetv.biz.id/play1.php?watch=Massachusetts Minutemen vs Stonehill Skyhawks"
2j3n,"https://livetv.biz.id/play1.php?watch=Washington Cougars vs Duquesne Dukes"
mtc0,"https://livetv.biz.id/play1.php?watch=Albany Great Danes vs Monmouth Hawks"
zs3m,"https://livetv.biz.id/play1.php?watch=Michigan Wolverines vs UTEP Miners"
hwqn,"https://livetv.biz.id/play1.php?watch=Cincinnati Bearcats vs Miami RedHawks"
g6b1,"https://livetv.biz.id/play1.php?watch=Rutgers Scarlet Knights vs USC Trojans"
3vs9,"https://livetv.biz.id/play1.php?watch=Utah Utes vs Utah Aggies"
ozek,"https://livetv.biz.id/play1.php?watch=Texas Aggies vs Kentucky Wildcats"
46yo,"https://livetv.biz.id/play1.php?watch=Louisville Cardinals vs SMU Mustangs"
xyj6,"https://livetv.biz.id/play1.php?watch=Alabama Crimson Tide vs Florida Seminoles"
uk2s,"https://livetv.biz.id/play1.php?watch=California Golden Bears vs Wagner Seahawks"
vw7m,"https://livetv.biz.id/play1.php?watch=Richmond Spiders vs Georgetown Hoyas"
299k,"https://livetv.biz.id/play1.php?watch=Iowa Hawkeyes vs Northern Iowa Panthers"
5il6,"https://livetv.biz.id/play1.php?watch=Baylor Bears vs Louisiana Bulldogs"
3weo,"https://livetv.biz.id/play1.php?watch=Liberty Flames vs Ball State Cardinals"
k2eb,"https://livetv.biz.id/play1.php?watch=Indiana Hoosiers vs Western Kentucky Hilltoppers"
2x60,"https://livetv.biz.id/play1.php?watch=Duke Blue Devils vs Stanford Cardinal"
txga,"https://livetv.biz.id/play1.php?watch=Idaho Vandals vs ACU Wildcats"
edeb,"https://livetv.biz.id/play1.php?watch=Norfolk Spartans vs Hampton Pirates"
fwhn,"https://livetv.biz.id/play1.php?watch=South Carolina Gamecocks vs Mississippi Bulldogs"
2oa7,"https://livetv.biz.id/play1.php?watch=Louisiana Monroe Warhawks vs Southeastern Louisiana Lions"
tt4n,"https://livetv.biz.id/play1.php?watch=Southern Connecticut Owls vs AIC Yellow Jackets"
e4w5,"https://livetv.biz.id/play1.php?watch=Gardner-Webb vs NC Central Eagles"
2kvr,"https://livetv.biz.id/play1.php?watch=Campbell Fighting Camels vs North Carolina Aggies"
1aj8,"https://livetv.biz.id/play1.php?watch=Elon Phoenix vs Sacred Heart Pioneers"
62lc,"https://livetv.biz.id/play1.php?watch=Appalachian Mountaineers vs Charlotte 49ers"
0ymm,"https://livetv.biz.id/play1.php?watch=Old Dominion Monarchs vs East Carolina Pirates"
1czp,"https://livetv.biz.id/play1.php?watch=FIU Panthers vs Florida Atlantic Owls"
mtwh,"https://livetv.biz.id/play1.php?watch=Chattanooga Mocs vs Wofford Terriers"
4m5f,"https://livetv.biz.id/play1.php?watch=Eastern Kentucky Colonels vs Dayton Flyers"
hzjn,"https://livetv.biz.id/play1.php?watch=William and Mary Tribe vs Fordham Rams"
k5i2,"https://livetv.biz.id/play1.php?watch=Towson Tigers vs Morgan Bears"
ayzl,"https://livetv.biz.id/play1.php?watch=Missouri Bears vs Marshall Thundering Herd"
zmc6,"https://livetv.biz.id/play1.php?watch=Sam Houston Bearkats vs Nicholls Colonels"
gtkr,"https://livetv.biz.id/play1.php?watch=Jacksonville Gamecocks vs Georgia Southern Eagles"
1oi6,"https://livetv.biz.id/play1.php?watch=MT Blue Raiders vs Nevada Wolf Pack"
1gxp,"https://livetv.biz.id/play1.php?watch=Connecticut Huskies vs Southern Miss Golden Eagles"
f4ft,"https://livetv.biz.id/play1.php?watch=Oklahoma Cowboys vs Murray Racers"
ancp,"https://livetv.biz.id/play1.php?watch=Delaware Hornets vs South Florida Bulls"
oitp,"https://livetv.biz.id/play1.php?watch=Rice Owls vs Western Michigan Broncos"
gf1o,"https://livetv.biz.id/play1.php?watch=Memphis Tigers vs UT Martin Skyhawks"
kdvv,"https://livetv.biz.id/play1.php?watch=Missouri Tigers vs Troy Trojans"
9bc1,"https://livetv.biz.id/play1.php?watch=South Alabama Jaguars vs Ohio Bobcats"
to69,"https://livetv.biz.id/play1.php?watch=UCF Knights vs Georgia Panthers"
5i4a,"https://livetv.biz.id/play1.php?watch=Florida Gators vs Auburn Tigers"
fhs2,"https://livetv.biz.id/play1.php?watch=North Alabama Lions vs Alcorn Braves"
t9cs,"https://livetv.biz.id/play1.php?watch=South Dakota Jackrabbits vs Youngstown Penguins"
r0cf,"https://livetv.biz.id/play1.php?watch=Missouri Redhawks vs Central Arkansas Sugar"
hk3w,"https://livetv.biz.id/play1.php?watch=Calgary vs Ottawa"
790i,"https://livetv.biz.id/play1.php?watch=Western Illinois Leathernecks vs Morehead Eagles"
145x,"https://livetv.biz.id/play1.php?watch=Incarnate Word Cardinals vs Houston Baptist Huskies"
mgxf,"https://livetv.biz.id/play1.php?watch=Florida A&amp;M Rattlers vs Tennessee State Tigers"
